station name: Minneapolis/St Paul Threaded Reoord
station identifier: mspthr
key: T=trace | M=missing | S=multi-day value to follow | A=multi-day accumulative value | blank=unknown
,maximum,minimum,precipitation,snowfall,snow depth,time of,time of,time of,time of,time of
,temperature,temperature,,,,observation,observation,observation,observation,observation
,,,,,,maxt,mint,pcpn,snow,snwd
date,(degrees F),(degrees F),(inches),(inches),(inches),(hour),(hour),(hour),(hour),(hour)
1950-01-01,39,30,T,0.0,0,24,24,0,0,0
1950-01-02,34,14,0.16,1.8,T,24,24,0,0,0
1950-01-03,14,-2,0.18,2.9,5,24,24,0,0,0
1950-01-04,-0,-16,0.04,0.5,5,24,24,0,0,0
1950-01-05,9,-15,0.00,0.0,5,24,24,0,0,0
1950-01-06,19,-5,0.00,0.0,5,24,24,0,0,0
1950-01-07,10,-2,0.00,0.0,5,24,24,0,0,0
1950-01-08,36,5,0.00,0.0,4,24,24,0,0,0
1950-01-09,30,9,T,T,4,24,24,0,0,0
1950-01-10,30,-7,0.01,0.2,4,24,24,0,0,0
1950-01-11,28,-9,0.00,0.0,4,24,24,0,0,0
1950-01-12,29,14,0.00,0.0,4,24,24,0,0,0
1950-01-13,28,-5,0.12,1.3,4,24,24,0,0,0
1950-01-14,11,-11,T,T,5,24,24,0,0,0
1950-01-15,26,-10,0.10,1.1,6,24,24,0,0,0
1950-01-16,-1,-15,0.00,0.0,6,24,24,0,0,0
1950-01-17,12,-10,0.02,0.2,6,24,24,0,0,0
1950-01-18,-2,-17,0.00,0.0,6,24,24,0,0,0
1950-01-19,1,-8,0.00,0.0,6,24,24,0,0,0
1950-01-20,19,-0,T,T,6,24,24,0,0,0
1950-01-21,23,7,0.00,0.0,5,24,24,0,0,0
1950-01-22,22,14,0.01,0.2,5,24,24,0,0,0
1950-01-23,20,14,0.02,0.4,6,24,24,0,0,0
1950-01-24,28,9,0.08,0.5,6,24,24,0,0,0
1950-01-25,9,-8,0.50,7.5,12,24,24,0,0,0
1950-01-26,-7,-24,0.01,0.1,14,24,24,0,0,0
1950-01-27,15,-23,0.00,0.0,14,24,24,0,0,0
1950-01-28,33,4,T,T,13,24,24,0,0,0
1950-01-29,4,-15,T,T,12,24,24,0,0,0
1950-01-30,-0,-21,T,T,12,24,24,0,0,0
1950-01-31,11,-4,0.02,0.3,12,24,24,0,0,0
1950-02-01,20,-10,0.00,0.0,12,24,24,0,0,0
1950-02-02,16,-7,0.00,0.0,12,24,24,0,0,0
1950-02-03,28,-0,0.00,0.0,10,24,24,0,0,0
1950-02-04,28,3,0.00,0.0,9,24,24,0,0,0
1950-02-05,39,24,0.00,0.0,7,24,24,0,0,0
1950-02-06,35,21,0.00,0.0,5,24,24,0,0,0
1950-02-07,34,19,0.06,T,5,24,24,0,0,0
1950-02-08,35,17,0.08,0.3,4,24,24,0,0,0
1950-02-09,41,11,0.00,0.0,4,24,24,0,0,0
1950-02-10,33,12,T,T,4,24,24,0,0,0
1950-02-11,20,-0,0.00,0.0,4,24,24,0,0,0
1950-02-12,23,13,0.00,0.0,4,24,24,0,0,0
1950-02-13,26,13,0.06,0.6,4,24,24,0,0,0
1950-02-14,28,22,0.43,6.4,10,24,24,0,0,0
1950-02-15,27,9,0.01,0.1,10,24,24,0,0,0
1950-02-16,30,1,0.00,0.0,9,24,24,0,0,0
1950-02-17,34,7,0.00,0.0,9,24,24,0,0,0
1950-02-18,31,4,0.02,0.2,9,24,24,0,0,0
1950-02-19,17,4,0.00,0.0,9,24,24,0,0,0
1950-02-20,26,9,0.00,0.0,9,24,24,0,0,0
1950-02-21,23,13,T,T,9,24,24,0,0,0
1950-02-22,30,4,0.02,0.3,9,24,24,0,0,0
1950-02-23,24,-10,T,T,9,24,24,0,0,0
1950-02-24,-0,-18,T,T,9,24,24,0,0,0
1950-02-25,8,-10,0.00,0.0,8,24,24,0,0,0
1950-02-26,22,-9,0.00,0.0,8,24,24,0,0,0
1950-02-27,36,12,0.00,0.0,6,24,24,0,0,0
1950-02-28,33,14,T,T,6,24,24,0,0,0
1950-03-01,14,-4,T,T,6,24,24,0,0,0
1950-03-02,13,-13,T,T,6,24,24,0,0,0
1950-03-03,24,7,T,T,5,24,24,0,0,0
1950-03-04,45,19,0.00,0.0,4,24,24,0,0,0
1950-03-05,46,33,0.00,0.0,1,24,24,0,0,0
1950-03-06,45,31,0.00,0.0,T,24,24,0,0,0
1950-03-07,41,8,0.81,3.8,2,24,24,0,0,0
1950-03-08,11,-1,0.03,0.5,4,24,24,0,0,0
1950-03-09,20,-1,0.00,0.0,4,24,24,0,0,0
1950-03-10,24,10,0.15,2.0,4,24,24,0,0,0
1950-03-11,18,3,0.03,0.3,6,24,24,0,0,0
1950-03-12,18,-0,0.00,0.0,6,24,24,0,0,0
1950-03-13,19,-0,0.00,0.0,5,24,24,0,0,0
1950-03-14,26,6,0.00,0.0,5,24,24,0,0,0
1950-03-15,28,5,0.08,1.3,5,24,24,0,0,0
1950-03-16,35,21,0.08,1.3,6,24,24,0,0,0
1950-03-17,35,18,T,T,5,24,24,0,0,0
1950-03-18,26,10,0.00,0.0,5,24,24,0,0,0
1950-03-19,30,15,0.00,0.0,5,24,24,0,0,0
1950-03-20,34,22,T,T,5,24,24,0,0,0
1950-03-21,36,31,0.29,0.2,4,24,24,0,0,0
1950-03-22,42,28,0.03,0.3,2,24,24,0,0,0
1950-03-23,43,23,0.01,T,1,24,24,0,0,0
1950-03-24,40,34,0.06,T,T,24,24,0,0,0
1950-03-25,44,33,0.10,T,T,24,24,0,0,0
1950-03-26,39,35,0.34,T,0,24,24,0,0,0
1950-03-27,40,31,0.11,T,0,24,24,0,0,0
1950-03-28,31,23,0.06,1.0,1,24,24,0,0,0
1950-03-29,33,19,0.00,0.0,T,24,24,0,0,0
1950-03-30,37,28,0.00,0.0,T,24,24,0,0,0
1950-03-31,46,31,0.02,0.4,0,24,24,0,0,0
1950-04-01,39,28,T,T,0,24,24,0,0,0
1950-04-02,47,32,0.12,1.4,0,24,24,0,0,0
1950-04-03,37,33,T,T,0,24,24,0,0,0
