station name: Minneapolis/St Paul Threaded Reoord
station identifier: mspthr
key: T=trace | M=missing | S=multi-day value to follow | A=multi-day accumulative value | blank=unknown
,maximum,minimum,precipitation,snowfall,snow depth,time of,time of,time of,time of,time of
,temperature,temperature,,,,observation,observation,observation,observation,observation
,,,,,,maxt,mint,pcpn,snow,snwd
date,(degrees F),(degrees F),(inches),(inches),(inches),(hour),(hour),(hour),(hour),(hour)
1930-01-01,35,31,0.00,0.0,0,0,0,0,0,0
1930-01-02,32,7,T,T,0,0,0,0,0,0
1930-01-03,24,1,0.00,T,0,0,0,0,0,0
1930-01-04,36,20,0.00,0.0,0,0,0,0,0,0
1930-01-05,40,32,0.00,0.0,0,0,0,0,0,0
1930-01-06,36,-8,T,T,0,0,0,0,0,0
1930-01-07,4,-9,0.00,T,0,0,0,0,0,0
1930-01-08,4,-6,0.00,0.0,0,0,0,0,0,0
1930-01-09,4,-12,0.00,0.0,0,0,0,0,0,0
1930-01-10,17,-9,0.00,0.0,0,0,0,0,0,0
1930-01-11,21,12,0.47,1.4,1,0,0,0,0,0
1930-01-12,22,-0,T,4.1,6,0,0,0,0,0
1930-01-13,14,-4,0.08,1.0,7,0,0,0,0,0
1930-01-14,18,2,0.32,3.0,9,0,0,0,0,0
1930-01-15,7,-3,T,0.4,10,0,0,0,0,0
1930-01-16,-3,-12,0.02,T,10,0,0,0,0,0
1930-01-17,-8,-20,0.01,0.4,10,0,0,0,0,0
1930-01-18,10,-17,T,T,9,0,0,0,0,0
1930-01-19,5,-5,0.00,0.0,8,0,0,0,0,0
1930-01-20,-2,-11,T,T,7,0,0,0,0,0
1930-01-21,-1,-16,0.00,0.0,7,0,0,0,0,0
1930-01-22,3,-11,0.00,0.0,7,0,0,0,0,0
1930-01-23,16,-6,0.01,0.1,7,0,0,0,0,0
1930-01-24,20,5,T,T,6,0,0,0,0,0
1930-01-25,12,-15,0.00,0.0,6,0,0,0,0,0
1930-01-26,17,-6,0.03,0.5,7,0,0,0,0,0
1930-01-27,19,5,0.01,0.1,7,0,0,0,0,0
1930-01-28,12,2,0.00,0.0,7,0,0,0,0,0
1930-01-29,20,-4,0.00,0.0,7,0,0,0,0,0
1930-01-30,19,7,T,0.0,7,0,0,0,0,0
1930-01-31,18,12,T,T,7,0,0,0,0,0
1930-02-01,24,12,T,0.0,6,0,0,0,0,0
1930-02-02,36,18,0.08,0.8,6,0,0,0,0,0
1930-02-03,34,25,T,0.0,6,0,0,0,0,0
1930-02-04,31,19,T,T,6,0,0,0,0,0
1930-02-05,26,12,0.04,T,6,0,0,0,0,0
1930-02-06,31,24,0.00,0.4,6,0,0,0,0,0
1930-02-07,35,17,0.00,0.0,5,0,0,0,0,0
1930-02-08,37,15,T,0.0,4,0,0,0,0,0
1930-02-09,37,17,0.01,0.1,3,0,0,0,0,0
1930-02-10,22,5,0.00,0.0,3,0,0,0,0,0
1930-02-11,40,20,0.00,0.0,2,0,0,0,0,0
1930-02-12,35,20,0.01,0.1,2,0,0,0,0,0
1930-02-13,24,-1,0.05,0.5,3,0,0,0,0,0
1930-02-14,6,-8,0.00,0.0,3,0,0,0,0,0
1930-02-15,11,-12,0.02,0.1,3,0,0,0,0,0
1930-02-16,19,6,T,0.1,3,0,0,0,0,0
1930-02-17,38,19,0.06,0.6,2,0,0,0,0,0
1930-02-18,50,27,0.00,0.0,T,0,0,0,0,0
1930-02-19,54,40,0.00,0.0,0,0,0,0,0,0
1930-02-20,54,32,0.00,0.0,0,0,0,0,0,0
1930-02-21,59,44,T,0.0,0,0,0,0,0,0
1930-02-22,57,38,0.00,0.0,0,0,0,0,0,0
1930-02-23,53,32,0.00,0.0,0,0,0,0,0,0
1930-02-24,49,40,1.90,0.0,0,0,0,0,0,0
1930-02-25,43,24,0.29,T,0,0,0,0,0,0
1930-02-26,26,20,0.01,0.1,T,0,0,0,0,0
1930-02-27,27,13,0.00,T,0,0,0,0,0,0
1930-02-28,37,20,0.19,2.0,2,0,0,0,0,0
1930-03-01,20,4,0.03,0.5,3,0,0,0,0,0
1930-03-02,20,-2,T,T,2,0,0,0,0,0
1930-03-03,32,14,0.00,T,1,0,0,0,0,0
1930-03-04,38,20,0.00,0.0,0,0,0,0,0,0
1930-03-05,35,18,0.00,0.0,0,0,0,0,0,0
1930-03-06,43,29,T,T,0,0,0,0,0,0
1930-03-07,39,25,T,T,0,0,0,0,0,0
1930-03-08,42,20,0.00,0.0,0,0,0,0,0,0
1930-03-09,51,33,0.00,0.0,0,0,0,0,0,0
1930-03-10,40,33,T,T,0,0,0,0,0,0
1930-03-11,42,32,T,T,0,0,0,0,0,0
1930-03-12,55,31,0.00,0.0,0,0,0,0,0,0
1930-03-13,33,17,0.00,0.0,0,0,0,0,0,0
1930-03-14,41,28,T,T,0,0,0,0,0,0
1930-03-15,62,35,0.14,T,0,0,0,0,0,0
1930-03-16,71,37,T,0.0,0,0,0,0,0,0
1930-03-17,38,26,0.00,0.0,0,0,0,0,0,0
1930-03-18,32,19,T,T,0,0,0,0,0,0
1930-03-19,54,23,0.00,0.0,0,0,0,0,0,0
1930-03-20,44,11,T,T,0,0,0,0,0,0
1930-03-21,32,9,0.00,0.0,0,0,0,0,0,0
1930-03-22,44,28,0.20,0.0,0,0,0,0,0,0
1930-03-23,43,33,0.10,1.2,0,0,0,0,0,0
1930-03-24,34,26,0.01,0.1,0,0,0,0,0,0
1930-03-25,35,22,0.00,0.0,0,0,0,0,0,0
1930-03-26,33,19,T,T,0,0,0,0,0,0
1930-03-27,37,20,0.00,0.0,0,0,0,0,0,0
1930-03-28,37,21,0.00,0.0,0,0,0,0,0,0
1930-03-29,39,25,0.00,0.0,0,0,0,0,0,0
1930-03-30,52,28,0.00,0.0,0,0,0,0,0,0
1930-03-31,36,23,T,T,0,0,0,0,0,0
1930-04-01,49,22,0.00,0.0,0,0,0,0,0,0
1930-04-02,61,35,0.00,0.0,0,0,0,0,0,0
1930-04-03,60,35,0.00,0.0,0,0,0,0,0,0
1930-04-04,79,40,0.00,0.0,0,0,0,0,0,0
