station name: Minneapolis/St Paul Threaded Reoord
station identifier: mspthr
key: T=trace | M=missing | S=multi-day value to follow | A=multi-day accumulative value | blank=unknown
,maximum,minimum,precipitation,snowfall,snow depth,time of,time of,time of,time of,time of
,temperature,temperature,,,,observation,observation,observation,observation,observation
,,,,,,maxt,mint,pcpn,snow,snwd
date,(degrees F),(degrees F),(inches),(inches),(inches),(hour),(hour),(hour),(hour),(hour)
1940-01-01,7,-3,0.00,0.0,3,24,24,0,0,0
1940-01-02,9,-3,T,T,3,24,24,0,0,0
1940-01-03,10,-5,0.00,0.0,3,24,24,0,0,0
1940-01-04,-3,-8,T,T,3,24,24,0,0,0
1940-01-05,10,-7,0.00,0.0,3,24,24,0,0,0
1940-01-06,16,-5,0.00,0.0,3,24,24,0,0,0
1940-01-07,17,-0,T,T,2,24,24,0,0,0
1940-01-08,21,2,T,0.2,3,24,24,0,0,0
1940-01-09,20,15,0.15,2.7,5,24,24,0,0,0
1940-01-10,27,15,0.01,T,5,24,24,0,0,0
1940-01-11,29,6,0.04,0.4,5,24,24,0,0,0
1940-01-12,19,-3,0.00,0.0,5,24,24,0,0,0
1940-01-13,22,15,0.02,0.1,5,24,24,0,0,0
1940-01-14,21,9,T,0.1,5,24,24,0,0,0
1940-01-15,9,-5,0.01,0.0,5,24,24,0,0,0
1940-01-16,-2,-8,0.07,0.6,6,24,24,0,0,0
1940-01-17,-7,-21,T,0.2,6,24,24,0,0,0
1940-01-18,2,-22,0.02,0.1,6,24,24,0,0,0
1940-01-19,15,1,0.02,0.3,6,24,24,0,0,0
1940-01-20,9,2,T,T,6,24,24,0,0,0
1940-01-21,15,2,0.00,0.0,6,24,24,0,0,0
1940-01-22,19,-3,T,T,5,24,24,0,0,0
1940-01-23,14,-1,0.02,0.1,6,24,24,0,0,0
1940-01-24,5,-12,0.01,0.2,5,24,24,0,0,0
1940-01-25,5,-12,T,T,5,24,24,0,0,0
1940-01-26,9,-3,T,T,5,24,24,0,0,0
1940-01-27,20,-10,0.00,0.0,5,24,24,0,0,0
1940-01-28,20,1,0.00,0.0,5,24,24,0,0,0
1940-01-29,19,7,0.00,0.0,5,24,24,0,0,0
1940-01-30,28,-0,T,T,5,24,24,0,0,0
1940-01-31,35,18,T,0.0,4,24,24,0,0,0
1940-02-01,27,15,T,T,3,24,24,0,0,0
1940-02-02,33,5,0.00,T,3,24,24,0,0,0
1940-02-03,29,5,0.06,0.2,3,24,24,0,0,0
1940-02-04,30,23,T,0.6,4,24,24,0,0,0
1940-02-05,29,24,0.00,0.0,3,24,24,0,0,0
1940-02-06,26,13,T,T,3,24,24,0,0,0
1940-02-07,22,-0,0.00,T,3,24,24,0,0,0
1940-02-08,19,3,0.00,0.0,3,24,24,0,0,0
1940-02-09,23,-10,0.00,0.0,3,24,24,0,0,0
1940-02-10,36,8,0.00,0.0,3,24,24,0,0,0
1940-02-11,33,20,0.28,0.0,2,24,24,0,0,0
1940-02-12,28,5,0.05,3.2,5,24,24,0,0,0
1940-02-13,21,-1,T,T,5,24,24,0,0,0
1940-02-14,31,12,0.00,0.0,5,24,24,0,0,0
1940-02-15,35,21,0.00,0.0,3,24,24,0,0,0
1940-02-16,35,32,0.08,0.3,3,24,24,0,0,0
1940-02-17,34,31,0.00,T,2,24,24,0,0,0
1940-02-18,35,31,0.00,0.0,1,24,24,0,0,0
1940-02-19,32,26,T,0.0,1,24,24,0,0,0
1940-02-20,31,26,T,T,1,24,24,0,0,0
1940-02-21,29,16,0.06,0.8,2,24,24,0,0,0
1940-02-22,16,7,T,0.1,2,24,24,0,0,0
1940-02-23,11,2,0.31,3.3,6,24,24,0,0,0
1940-02-24,5,-12,0.00,0.0,6,24,24,0,0,0
1940-02-25,16,-17,0.01,0.0,6,24,24,0,0,0
1940-02-26,29,10,0.01,0.2,6,24,24,0,0,0
1940-02-27,30,18,T,0.0,6,24,24,0,0,0
1940-02-28,27,14,0.00,0.0,5,24,24,0,0,0
1940-02-29,30,15,0.05,0.4,5,24,24,0,0,0
1940-03-01,32,26,T,T,4,24,24,0,0,0
1940-03-02,34,25,0.00,0.0,4,24,24,0,0,0
1940-03-03,36,19,0.00,0.0,2,24,24,0,0,0
1940-03-04,35,28,T,T,1,24,24,0,0,0
1940-03-05,34,30,T,0.0,1,24,24,0,0,0
1940-03-06,36,20,0.00,0.0,1,24,24,0,0,0
1940-03-07,38,25,0.00,0.0,1,24,24,0,0,0
1940-03-08,38,19,0.00,0.0,T,24,24,0,0,0
1940-03-09,30,20,0.00,0.0,T,24,24,0,0,0
1940-03-10,30,14,0.00,0.0,T,24,24,0,0,0
1940-03-11,23,12,0.14,0.0,T,24,24,0,0,0
1940-03-12,22,17,0.37,6.2,6,24,24,0,0,0
1940-03-13,21,15,0.59,9.4,16,24,24,0,0,0
1940-03-14,21,11,0.07,1.1,17,24,24,0,0,0
1940-03-15,37,2,0.00,0.0,11,24,24,0,0,0
1940-03-16,37,9,0.00,0.0,8,24,24,0,0,0
1940-03-17,46,25,T,0.0,3,24,24,0,0,0
1940-03-18,43,26,T,T,2,24,24,0,0,0
1940-03-19,33,19,0.28,3.7,5,24,24,0,0,0
1940-03-20,31,6,0.00,0.9,5,24,24,0,0,0
1940-03-21,21,3,T,T,5,24,24,0,0,0
1940-03-22,14,-4,0.00,0.0,5,24,24,0,0,0
1940-03-23,11,-3,0.00,0.0,5,24,24,0,0,0
1940-03-24,17,-1,0.00,0.0,5,24,24,0,0,0
1940-03-25,30,-5,0.00,0.0,3,24,24,0,0,0
1940-03-26,26,17,0.35,3.8,7,24,24,0,0,0
1940-03-27,36,20,0.01,0.5,5,24,24,0,0,0
1940-03-28,38,30,0.14,T,2,24,24,0,0,0
1940-03-29,41,33,0.21,T,T,24,24,0,0,0
1940-03-30,51,29,0.00,0.0,T,24,24,0,0,0
1940-03-31,41,28,0.00,0.0,0,24,24,0,0,0
1940-04-01,43,30,0.00,0.0,0,24,24,0,0,0
1940-04-02,41,35,0.27,0.0,0,24,24,0,0,0
1940-04-03,38,34,0.06,0.0,0,24,24,0,0,0
