station name: Minneapolis/St Paul Threaded Reoord
station identifier: mspthr
key: T=trace | M=missing | S=multi-day value to follow | A=multi-day accumulative value | blank=unknown
,maximum,minimum,precipitation,snowfall,snow depth,time of,time of,time of,time of,time of
,temperature,temperature,,,,observation,observation,observation,observation,observation
,,,,,,maxt,mint,pcpn,snow,snwd
date,(degrees F),(degrees F),(inches),(inches),(inches),(hour),(hour),(hour),(hour),(hour)
1960-01-01,29,27,0.31,3.7,T,24,24,0,0,0
1960-01-02,32,15,0.17,2.9,6,24,24,0,0,0
1960-01-03,15,-11,T,T,7,24,24,0,0,0
1960-01-04,9,-15,0.01,0.1,7,24,24,0,0,0
1960-01-05,14,-19,0.01,0.2,7,24,24,0,0,0
1960-01-06,32,10,T,T,5,24,24,0,0,0
1960-01-07,36,23,0.03,0.3,5,24,24,0,0,0
1960-01-08,26,-0,0.00,0.0,4,24,24,0,0,0
1960-01-09,32,13,0.00,0.0,4,24,24,0,0,0
1960-01-10,27,12,T,T,3,24,24,0,0,0
1960-01-11,35,10,0.01,T,3,24,24,0,0,0
1960-01-12,37,33,0.01,0.0,2,24,24,0,0,0
1960-01-13,36,34,T,0.0,2,24,24,0,0,0
1960-01-14,34,20,T,0.0,1,24,24,0,0,0
1960-01-15,21,10,0.00,0.0,1,24,24,0,0,0
1960-01-16,26,9,0.00,0.0,1,24,24,0,0,0
1960-01-17,27,10,0.00,0.0,1,24,24,0,0,0
1960-01-18,24,12,T,0.1,1,24,24,0,0,0
1960-01-19,19,8,T,0.1,1,24,24,0,0,0
1960-01-20,13,2,T,T,1,24,24,0,0,0
1960-01-21,14,1,T,T,1,24,24,0,0,0
1960-01-22,13,1,0.00,0.0,1,24,24,0,0,0
1960-01-23,17,2,T,T,1,24,24,0,0,0
1960-01-24,26,8,0.04,0.9,1,24,24,0,0,0
1960-01-25,23,5,T,T,2,24,24,0,0,0
1960-01-26,11,4,0.08,1.1,2,24,24,0,0,0
1960-01-27,24,8,T,T,3,24,24,0,0,0
1960-01-28,27,23,0.01,0.1,3,24,24,0,0,0
1960-01-29,31,21,0.00,0.0,3,24,24,0,0,0
1960-01-30,31,16,0.00,0.0,3,24,24,0,0,0
1960-01-31,33,16,0.00,0.0,2,24,24,0,0,0
1960-02-01,32,25,0.00,0.0,2,24,24,0,0,0
1960-02-02,29,21,0.00,0.0,1,24,24,0,0,0
1960-02-03,36,24,0.00,0.0,1,24,24,0,0,0
1960-02-04,36,18,0.00,0.0,T,24,24,0,0,0
1960-02-05,38,31,T,T,T,24,24,0,0,0
1960-02-06,34,22,T,T,T,24,24,0,0,0
1960-02-07,30,12,T,T,T,24,24,0,0,0
1960-02-08,39,15,0.00,0.0,T,24,24,0,0,0
1960-02-09,23,11,0.00,0.0,T,24,24,0,0,0
1960-02-10,23,9,T,T,T,24,24,0,0,0
1960-02-11,16,1,0.00,0.0,T,24,24,0,0,0
1960-02-12,19,-0,0.00,0.0,T,24,24,0,0,0
1960-02-13,28,-0,0.00,0.0,T,24,24,0,0,0
1960-02-14,30,8,T,T,T,24,24,0,0,0
1960-02-15,42,20,0.00,0.0,T,24,24,0,0,0
1960-02-16,32,20,0.05,0.5,T,24,24,0,0,0
1960-02-17,23,9,0.01,0.2,1,24,24,0,0,0
1960-02-18,17,-0,0.01,0.1,1,24,24,0,0,0
1960-02-19,12,-7,0.00,0.0,1,24,24,0,0,0
1960-02-20,18,1,0.08,0.9,1,24,24,0,0,0
1960-02-21,21,13,0.07,1.0,2,24,24,0,0,0
1960-02-22,23,11,T,T,3,24,24,0,0,0
1960-02-23,23,1,T,T,3,24,24,0,0,0
1960-02-24,24,-1,0.00,0.0,2,24,24,0,0,0
1960-02-25,25,6,T,T,2,24,24,0,0,0
1960-02-26,20,10,T,T,2,24,24,0,0,0
1960-02-27,23,-4,0.00,0.0,2,24,24,0,0,0
1960-02-28,19,6,T,T,2,24,24,0,0,0
1960-02-29,16,-3,T,T,2,24,24,0,0,0
1960-03-01,14,-2,0.00,0.0,2,24,24,0,0,0
1960-03-02,15,1,0.01,0.4,2,24,24,0,0,0
1960-03-03,15,4,0.02,0.3,2,24,24,0,0,0
1960-03-04,9,-10,T,T,2,24,24,0,0,0
1960-03-05,13,-14,0.00,0.0,2,24,24,0,0,0
1960-03-06,14,-7,0.03,0.5,2,24,24,0,0,0
1960-03-07,20,-16,T,T,2,24,24,0,0,0
1960-03-08,23,1,0.00,0.0,2,24,24,0,0,0
1960-03-09,25,15,0.11,1.3,2,24,24,0,0,0
1960-03-10,29,7,T,T,3,24,24,0,0,0
1960-03-11,27,4,0.12,1.0,3,24,24,0,0,0
1960-03-12,20,-3,T,T,4,24,24,0,0,0
1960-03-13,23,-8,0.00,0.0,4,24,24,0,0,0
1960-03-14,28,-9,0.00,0.0,3,24,24,0,0,0
1960-03-15,31,6,0.00,0.0,3,24,24,0,0,0
1960-03-16,32,24,T,T,3,24,24,0,0,0
1960-03-17,33,12,0.00,0.0,2,24,24,0,0,0
1960-03-18,30,11,0.03,0.6,1,24,24,0,0,0
1960-03-19,35,22,0.00,0.0,1,24,24,0,0,0
1960-03-20,30,17,0.00,0.0,1,24,24,0,0,0
1960-03-21,41,16,0.00,0.0,T,24,24,0,0,0
1960-03-22,27,11,0.00,0.0,T,24,24,0,0,0
1960-03-23,35,22,T,T,T,24,24,0,0,0
1960-03-24,24,9,0.00,0.0,T,24,24,0,0,0
1960-03-25,23,12,0.07,1.4,T,24,24,0,0,0
1960-03-26,43,15,T,T,1,24,24,0,0,0
1960-03-27,58,34,0.00,0.0,T,24,24,0,0,0
1960-03-28,53,30,0.00,0.0,0,24,24,0,0,0
1960-03-29,59,41,0.41,0.0,0,24,24,0,0,0
1960-03-30,49,33,0.01,T,0,24,24,0,0,0
1960-03-31,42,27,0.00,0.0,0,24,24,0,0,0
1960-04-01,45,34,0.17,T,0,24,24,0,0,0
1960-04-02,44,37,0.10,0.0,0,24,24,0,0,0
1960-04-03,47,34,0.00,0.0,0,24,24,0,0,0
1960-04-04,51,33,T,T,0,24,24,0,0,0
