station name: Minneapolis/St Paul Threaded Reoord
station identifier: mspthr
key: T=trace | M=missing | S=multi-day value to follow | A=multi-day accumulative value | blank=unknown
,maximum,minimum,precipitation,snowfall,snow depth,time of,time of,time of,time of,time of
,temperature,temperature,,,,observation,observation,observation,observation,observation
,,,,,,maxt,mint,pcpn,snow,snwd
date,(degrees F),(degrees F),(inches),(inches),(inches),(hour),(hour),(hour),(hour),(hour)
1980-01-01,31,24,T,T,T,24,24,0,0,0
1980-01-02,26,13,T,T,T,24,24,0,0,0
1980-01-03,20,13,0.06,1.4,T,24,24,0,0,0
1980-01-04,26,20,0.06,1.1,T,24,24,0,0,0
1980-01-05,26,21,T,T,1,24,24,0,0,0
1980-01-06,32,11,0.31,4.1,3,24,24,0,0,0
1980-01-07,11,-5,0.01,0.1,5,24,24,0,0,0
1980-01-08,-2,-12,0.00,0.0,5,24,24,0,0,0
1980-01-09,2,-15,0.00,0.0,5,24,24,0,0,0
1980-01-10,43,1,T,0.0,5,24,24,0,0,0
1980-01-11,43,-0,0.05,1.1,5,24,24,0,0,0
1980-01-12,30,-7,T,T,5,24,24,0,0,0
1980-01-13,48,24,0.06,0.2,4,24,24,0,0,0
1980-01-14,37,16,0.00,0.0,2,24,24,0,0,0
1980-01-15,38,33,0.11,0.0,1,24,24,0,0,0
1980-01-16,36,30,0.06,0.3,1,24,24,0,0,0
1980-01-17,30,26,T,T,T,24,24,0,0,0
1980-01-18,29,23,T,T,T,24,24,0,0,0
1980-01-19,31,18,T,T,T,24,24,0,0,0
1980-01-20,40,13,0.00,0.0,T,24,24,0,0,0
1980-01-21,35,17,T,T,T,24,24,0,0,0
1980-01-22,33,4,T,T,T,24,24,0,0,0
1980-01-23,10,-4,0.06,1.2,T,24,24,0,0,0
1980-01-24,26,9,0.14,2.7,3,24,24,0,0,0
1980-01-25,16,-6,T,T,4,24,24,0,0,0
1980-01-26,-1,-14,0.00,0.0,4,24,24,0,0,0
1980-01-27,4,-9,0.00,0.0,4,24,24,0,0,0
1980-01-28,6,-8,T,0.2,4,24,24,0,0,0
1980-01-29,2,-12,0.00,0.0,4,24,24,0,0,0
1980-01-30,10,-1,0.02,0.5,4,24,24,0,0,0
1980-01-31,12,-7,0.00,0.0,4,24,24,0,0,0
1980-02-01,13,-9,T,T,4,24,24,0,0,0
1980-02-02,18,-0,0.00,0.0,4,24,24,0,0,0
1980-02-03,18,-0,0.00,0.0,4,24,24,0,0,0
1980-02-04,21,1,0.12,2.0,4,24,24,0,0,0
1980-02-05,24,13,0.09,1.9,7,24,24,0,0,0
1980-02-06,27,4,0.00,0.0,6,24,24,0,0,0
1980-02-07,19,-4,T,0.1,6,24,24,0,0,0
1980-02-08,22,-4,T,T,6,24,24,0,0,0
1980-02-09,17,-4,T,0.1,6,24,24,0,0,0
1980-02-10,23,11,0.04,0.9,7,24,24,0,0,0
1980-02-11,23,4,T,T,7,24,24,0,0,0
1980-02-12,18,-4,0.00,0.0,7,24,24,0,0,0
1980-02-13,27,15,T,0.2,5,24,24,0,0,0
1980-02-14,21,10,T,0.1,5,24,24,0,0,0
1980-02-15,16,3,0.03,0.3,5,24,24,0,0,0
1980-02-16,13,-4,0.00,0.0,5,24,24,0,0,0
1980-02-17,21,-7,0.00,0.0,5,24,24,0,0,0
1980-02-18,33,15,T,T,5,24,24,0,0,0
1980-02-19,35,31,0.18,0.7,5,24,24,0,0,0
1980-02-20,38,34,T,0.0,3,24,24,0,0,0
1980-02-21,37,34,0.03,T,2,24,24,0,0,0
1980-02-22,36,25,0.05,0.5,2,24,24,0,0,0
1980-02-23,29,15,T,T,2,24,24,0,0,0
1980-02-24,29,17,T,T,2,24,24,0,0,0
1980-02-25,18,3,T,T,1,24,24,0,0,0
1980-02-26,36,1,0.00,0.0,1,24,24,0,0,0
1980-02-27,22,12,0.13,2.0,1,24,24,0,0,0
1980-02-28,16,2,T,T,3,24,24,0,0,0
1980-02-29,10,-9,0.00,0.0,3,24,24,0,0,0
1980-03-01,15,-3,0.00,0.0,3,24,24,0,0,0
1980-03-02,28,1,0.00,0.0,2,24,24,0,0,0
1980-03-03,34,16,0.00,0.0,2,24,24,0,0,0
1980-03-04,26,7,0.03,0.5,1,24,24,0,0,0
1980-03-05,17,-1,0.00,0.0,2,24,24,0,0,0
1980-03-06,23,6,0.09,2.4,2,24,24,0,0,0
1980-03-07,25,2,T,T,4,24,24,0,0,0
1980-03-08,33,5,0.00,0.0,4,24,24,0,0,0
1980-03-09,39,14,0.06,0.9,3,24,24,0,0,0
1980-03-10,37,7,0.02,0.3,3,24,24,0,0,0
1980-03-11,20,1,T,T,3,24,24,0,0,0
1980-03-12,32,16,0.05,1.1,3,24,24,0,0,0
1980-03-13,33,19,0.21,2.5,6,24,24,0,0,0
1980-03-14,35,9,0.00,0.0,5,24,24,0,0,0
1980-03-15,44,26,0.00,0.0,5,24,24,0,0,0
1980-03-16,43,25,0.24,0.1,3,24,24,0,0,0
1980-03-17,34,19,0.00,0.0,1,24,24,0,0,0
1980-03-18,46,23,0.00,0.0,1,24,24,0,0,0
1980-03-19,55,39,0.00,0.0,T,24,24,0,0,0
1980-03-20,45,30,0.00,0.0,T,24,24,0,0,0
1980-03-21,36,22,0.00,0.0,T,24,24,0,0,0
1980-03-22,28,24,0.18,2.8,0,24,24,0,0,0
1980-03-23,36,27,0.06,1.4,4,24,24,0,0,0
1980-03-24,38,24,T,T,T,24,24,0,0,0
1980-03-25,43,18,0.00,0.0,T,24,24,0,0,0
1980-03-26,45,28,0.01,T,T,24,24,0,0,0
1980-03-27,39,33,0.17,1.7,1,24,24,0,0,0
1980-03-28,42,36,0.00,0.0,T,24,24,0,0,0
1980-03-29,49,31,0.00,0.0,0,24,24,0,0,0
1980-03-30,51,29,0.00,0.0,0,24,24,0,0,0
1980-03-31,56,27,0.00,0.0,0,24,24,0,0,0
1980-04-01,51,33,0.00,0.0,0,24,24,0,0,0
1980-04-02,60,28,0.00,0.0,0,24,24,0,0,0
1980-04-03,46,34,0.09,0.9,0,24,24,0,0,0
